basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Мержанов, Мартын			Факелы Рима. [К итогам XVII Олимпийских игр]	Юность	1960	11	104-108
Андраша, Мих			Мое происхождение. [Рассказ]. Илл: Е. Медведева	Юность	1960	11	109-110
Кузнецов, Анатолий			Ясная Поляна. 1960. К 50-летию со дня смерти Л. Н. Толстого	Юность	1960	11	17-22
Шатько, Евгений			Дорога в цветущие долины. Рассказ. Илл: Г. Калиновский	Юность	1960	11	23-35
Сорин, Семен			«Наутилус». — Могила неизвестного солдата. — «На планету дальнюю,иную...» —Мюнхен. 1960 год. — Бонн. [Стихи]	Юность	1960	11	36-37
Сат-Ок			Земля Соленых скал. Повесть. [С предисл. С. Преображенского «Сат-Ок и егокнига»]. Пер. с польского: Ю. Стадниченко. Илл: П. Бунин	Юность	1960	11	38-80
Зверев, Илья			Шура. [О работе бетонщицы А. Броваренко на строительствеКомсомольской ГРЭС. Харьк. обл.] Очерк. Илл: Ю. Вечерский	Юность	1960	11	81-89
Златогоров, Мих			Слышим твои голоса, молодость мира! [Обзор журн. «Иностр.литература» 1960 10]	Юность	1960	11	94-95
Гущев, С			Смелей, автоматика! [О механизации и автоматизации производ. процессов]	Юность	1960	11	95-100
Шаховский, Борис.			Встреча со Сталинградом. Стихи	Юность	1961	2	29
Смирнов, Лев.			Баллада о солдате. — Со двора. — Беглец. [Стихи]	Юность	1961	2	52
Киреев, Р.			Бог и ракеты. [Сатирич. стихи]	Юность	1961	2	112
Чусляев, Анатолий.			Большой разговор в Кремле. [Из впечатлений участника январскогоПленума ЦК КПСС, председателя колхоза им. Мичурина (Аркадакский район Сарат.обл.)]	Юность	1961	2	2-3
Ставский, Элигий.			Все только начинается. Повесть. Илл: Г. Калиновский	Юность	1961	2	4-27
Александрова, Ф.			Молодая Италия борется. [Об участии итал. молодежи вантифашистском движении]	Юность	1961	2	101-103
Фролов, В.			Размышления о хоккейной славе	Юность	1961	2	104-108
