aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Молдавский, Дм			Партийность и гуманизм. (Заметки о поэзии П. Тычины)	Знамя	1960	10	202-208
Вирта, Николай			Жизнеописание Остапа Чуба... [Повесть]	Знамя	1960	10	67-82
Кетлинская, Вера			Иначе жить не стоит. Роман	Знамя	1960	10	7-65
Драгунский, Виктор			Рассказы: Он живой и светится... — Надо иметь чувство юмора.	Знамя	1960	10	83-86
Фолкнер, Уильям			Избранник народа. Рассказ. Пер. с англ: В. Ефанова	Знамя	1960	10	87 -101
Захарченко, Вас			Неотправленные письма. [Открытые письма советского писателя кзарубежным друзьям]	Знамя	1960	11	113-130
Кулешов, Александр			30 дней на берегах Тибра. [О XVII Олимпийских играх].(Олимпийские впечатления)	Знамя	1960	11	131-145
Эйзенштейн, С			Страницы жизни. [Главы из автобиогр. записок]	Знамя	1960	11	146-190
Михайлов, О			О некоторых традициях Льва Толстого	Знамя	1960	11	191-202
Кожинов, В			Внешняя и внутренняя тема в современной лирике	Знамя	1960	11	202-212
Снегов, Сергей			Вариант Пинегина. Повесть	Знамя	1960	11	3-40
Белинский, Яков			Новая готика. Стихи: Курфюрстендамм. — Старуха с Променаденплац.— Бранденбургские ворота. — Дорога на Дахау. — Новая готика. — Нюрнберг. —«Ночь...» — «Слеты, сборища, съезды спевки...» — «Пусть о Германии немецкие поэты...»	Знамя	1960	11	41-47
Юфит, Матильда			Метод индукции. Рассказ	Знамя	1960	11	48-78
Поликарпов, Сергей			Баку. — Каспий. [Стихи]	Знамя	1960	11	79-80
Могилевская, Софья			Лето в Крекшине. [Из воспоминаний о Л. Н. Толстом]	Знамя	1960	11	81-84
Ноутон, Билл			Сестра Тома. — Вдали от дома. Рассказы. [Пер. с англ: А. Горский; Н.Высоцкая]	Знамя	1960	11	85-95
Максимова, Э			Теплый дом. [Заметки о воспитании детей в интернатах]	Знамя	1960	11	96-112
			Коммунизм — это мир. [К итогам Совещания представителей коммунистич. и рабочихпартий в Москве. Ноябрь 1960 г. Передовая]	Знамя	1961	1	3-6
Озорнов, Л.			На малой скорости. Рассказ	Знамя	1961	1	112-130
Ч и вер, Джон.			Брак. [Рассказ америк. писателя]. Пер. с англ: Т. Литвинова	Знамя	1961	1	131-138
Рябчиков, Е.			Год второй... [Об успехах в развитии нар. хозяйства СССР в 1960 г.Публицистич. заметки]	Знамя	1961	1	139-155
Борин, А.			Хозяева. [О деятельности обществ. организаций новаторов. Очерк]	Знамя	1961	1	156-174
Наянов, Ф.			Малые корабли в больших плаваниях. [Заметки участника экспедиции попереводу судов с волж. верфей в реки Сибири через полярные моря]	Знамя	1961	1	175-187
Макаров, А.			Серьезная жизнь. [Заметки о творчестве молодых писателей]	Знамя	1961	1	188-211
Рубашкин, А.			Виза времени. [О публицистике И. Эренбурга. К 70-летию со дня рожденияписателя]	Знамя	1961	1	212-221
Демин, Мих.			Вот паспорт мой... Стихи: «Вот паспорт мой...»— «Мы немало вжизни побродили...» — «Снега сыпучи, горячи — в ночи...»	Знамя	1961	1	39-41
Сергуненков, Борис.			Лесные сторожа. Повесть	Знамя	1961	1	42-82
Нагибин, Юрий.			Чистые пруды. Из новой книги рассказов	Знамя	1961	1	7-38
Луговой, Владимир.			Из Сибирской тетради. Стихи: «Почему на полустанках маленьких...»— Художник	Знамя	1961	1	83-84
Горышин, Глеб.			Ударение на первом слоге. Маленькая повесть	Знамя	1961	1	85-111
Стюарт, Е.			В Крыму. Стихи	Знамя	1961	2	70
Фоняков, Илья.			Товарищи. Стихи	Знамя	1961	2	102
Сарян, Гегам.			Пейзаж. Стихи. Пер. с арм: П. Чуковский	Знамя	1961	2	113
Сурков, Алексей.			В наши дни. Стихи: Мой современник. — Память. — Возраст	Знамя	1961	2	3-5
Субботин, Василий.			Через Кенигплац. Рассказы: Алеша. — Через Кенигплац. —«Полковник» Берест — Верность друга. — Это — мы	Знамя	1961	2	103-112
Опиц, Карллюдвиг.			О ты, моя Германия. [Из книги памфлетов]. Пер. с нем: Э. Грейнер	Знамя	1961	2	114-119
Буряковский, Юрий.			Рассказы о Е. Патоне. [Из воспоминаний о советском ученом,специалисте в области электросварки и мостостроения]	Знамя	1961	2	120-128
Солоухин, Владимир.			Открытки из Вьетнама. [Путевые заметки]	Знамя	1961	2	129-164
Луконин, Михаил.			Товарищ Поэзия. [Заметки поэта]	Знамя	1961	2	165-197
Голиков, Ф.			О военно-патриотической теме в художественной литературе	Знамя	1961	2	198-205
Чалмаев, В.			Мир в свете подвига. [К 50-летию со дня рождения Г. Николаевой]	Знамя	1961	2	205-213
Алексин, Анатолий.			...А воспитание — великое дело! [О произведениях С. Баруздина длядетей]	Знамя	1961	2	221-224
Конецкий, Виктор.			Завтрашние заботы. Повесть	Знамя	1961	2	6-69
Емельянова, Нина.			На своей земле. Рассказы	Знамя	1961	2	71-101
Малышко, Андрей.			Рассказ кобзаря. Поэма. Авториз. пер. с укр: Л. Смирнов	Знамя	1961	3	3-7
О'Кейси, Шон.			Весна. [Рассказ ирланд. писателя]. Пер. с англ: Д. Соловьев	Знамя	1961	3	117-120
Перешивко, Татьяна.			Теперь дело за нами. [Герой Соц. Труда, свинарка совхоза«Победитель» о своем опыте. Омская обл.]	Знамя	1961	3	121-125
Казаков, Юрий.			Северный дневник. [Из рассказов о людях семилетки]. Илл: М. Скобелеви А. Елисеева	Знамя	1961	3	126-153
Солоухин, Владимир.			Открытки из Вьетнама. [Путевые заметки]	Знамя	1961	3	154-176
Аннинский, Л.			Мораль и люди. [Семейно-бытовая тематика в современной советскойлитературе]	Знамя	1961	3	181-194
Мартынов, Леонид.			Из новой книги стихов: Ленинский проспект. — Проводы. — Холод.— Зарубежный пейзаж. — «Еще боятся высоты...» — Мадьярские слова. — Гондвана. —«Воспрянув от сна...» — Мотылек. — Весна. — Бессонница. — Старина. — «День еще некончился один...» — Гроза	Знамя	1961	3	72-81
