basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Галлай, М			Через невидимые барьеры. Из записок летчика-испытателя	Новый мир	1960	7.00	112-141
Эйснер, Алексей			Сестра моя Болгария. [Путевые записки]	Новый мир	1960	7.00	142-180
Анфиногенов, Артем			Арктика минувшего года. [Об участниках науч. исследованийв Арктике. Очерк]	Новый мир	1960	7.00	181-202
Струмилин, С			Рабочий быт и коммунизм	Новый мир	1960	7.00	203-220
Хавин, А			«Срочно требуются...» [К вопросам перераспределения и подготовкирабочих кадров. Публицистич. заметки]	Новый мир	1960	7.00	221-228
Сурвилло, В			На путях романтики. [К обсуждению в журн. «Новый мир» проблемсоврем. романа]. Статья 3	Новый мир	1960	7.00	229-239
Туровская, М			Герои безгеройного времени. [По материалам зарубежныхпроизведений докум. приключенческого жанра. К обсуждению в журн. «Новый мир»проблем соврем, романа]	Новый мир	1960	7.00	240-249
Крутикова, Н			Новое издание биографии В. И. Ленина	Новый мир	1960	7.00	268-271
			О рассказах Е. Драбкиной. [Письма читателей в связи с публикацией в журн.«Новый мир» воспоминаний Е. Я. Драбкиной о первых годах Советской власти]	Новый мир	1960	7.00	279-282
Дорош, Ефим			Четыре времени года. Киноповесть	Новый мир	1960	7.00	3-79
Поликарпов, Сергей			Два стихотворения: Детство. — Лето	Новый мир	1960	7.00	80-81
Лиснянская, Инна			Летний Север. Стихи: «Сказал мне кто-то, что рубли...» —Полярная станция — На концерт	Новый мир	1960	7.00	82-83
Кожевников, Алексей			Видение. Повесть	Новый мир	1960	7.00	84-104
Казакова, Римма			В лесу. Стихи	Новый мир	1960	8.00	21
Муртазов, Борис			В Дарьяльском ущелье. Стихи. Пер. с осет:Л. Озеров	Новый мир	1960	8.00	113
Каверин, В			Кусок стекла. Рассказ	Новый мир	1960	8.00	3-20
Цагараев, Гиго			Горный родник. Стихи. Пер. с осет:  О.Зверев	Новый мир	1960	8.00	114-115
Маршак, С			Об одном стихотворении. [О стихотворении М. Ю. Лермонтова «Выхожу один я на дорогу»]	Новый мир	1960	8.00	116-117
Бурсов, Б			Текстология и идеология. [По поводу редакции текста стихотворения А. С. Пушкина «Опять увенчаны мы славой» впоследних советских изданиях]	Новый мир	1960	8.00	118-122
Любимов, Лев			Двенадцать лет спустя. [Заметки о поездке во Францию]	Новый мир	1960	8.00	123-140
Эйснер, Алексей			Сестра моя Болгария. [Путевые записки]	Новый мир	1960	8.00	141-177
Монахов, В			Преступник и общество	Новый мир	1960	8.00	178-189
Партигул, С			Некоторые проблемы торговли. (Размышления экономиста)	Новый мир	1960	8.00	190-209
Брайнес, С	Свечинский, В		Кибернетика в биологии и медицине	Новый мир	1960	8.00	202-210
Белая, Г			В поисках «скромного новаторства». [К обсуждению в журн. «Новый мир» проблем соврем, романа]	Новый мир	1960	8.00	211-217
Назаренко, В			Не забывать о главном! [К обсуждению   в журн. «Новый мир» проблем соврем. романа]	Новый мир	1960	8.00	218-226
Хелемский, Яков			Белорусские реки. Стихи	Новый мир	1960	8.00	22-23
Соловьева, И			Герои и темы Виктора Розова. [О творчестве драматурга]	Новый мир	1960	8.00	227-240
Эренбург, Илья			Люди, годы, жизнь. [Воспоминания]	Новый мир	1960	8.00	24-60
Рид, Джон			Речь на I съезде народов Востока.  Баку, 1—8 сент. 1920 г. (С предисл Е. Драбкиной «Последняя речь Джона Рида»]	Новый мир	1960	8.00	279-282
Липкин, С			Две легенды. [Стихи]:  Степная притча. — У развалинливонского замка	Новый мир	1960	8.00	61-64
Поступальская, М			За окнами свет. [Повесть]	Новый мир	1960	8.00	65-112
Симашко, М			Искушение Фраги. Повесть	Новый мир	1960	9.00	137-154
Стюарт, Е			Доверие. — «Я читаю памятные даты...» [Стихи]	Новый мир	1960	9.00	186-187
Рехано, Хуан			Песни мира. Стихи: Мать. — Крестьянин. — Моряк. — Пекарь. — Оливы,оливы, оливы. Пер. с испан: М Самаев	Новый мир	1960	9.00	188-190
Рудь, Дмитрий			Вот наш путь. [Вопросы межколхоз. сотрудничества. Публицистич.заметки]	Новый мир	1960	9.00	191-204
Пересветов, Р			Загадочные приписки. [Об исследованиях Д. Альшица, посвящ. вопросу опринадлежности Ивану Грозному приписок к Летописному своду XVI в.]	Новый мир	1960	9.00	205-212
Сергеенко, А			Встречи с Толстым. Главы из книги. К 50-летию со дня смерти Л. Н.Толстого	Новый мир	1960	9.00	213-235
Кузнецов, М			Спор решит жизнь. [К обсуждению в журн. «Новый мир» проблем соврем.романа]	Новый мир	1960	9.00	236-250
Шарков, А			Счастье и мир — народам! [К выходу в свет книги «Счастье и мир — народам!Пребывание Председателя Совета Министров СССР Н. С. Хрущева в Индии, Бирме,Индонезии и Афганистане. 11 февраля — 5 марта 1960 г.»]	Новый мир	1960	9.00	265-268
Фарбер, Л			Алексей Яровицкий, революционер и писатель. [К истории русской литературыначала XX в.]	Новый мир	1960	9.00	275-282
Парнис, Алексис			Остров Афродиты. Пьеса в 3 д. Авториз. пер. с греч: Ю. Лукин и А.Столтидис	Новый мир	1960	9.00	3-40
Ваншенкин, К			Четыре стихотворения: «Мир отрочества угловатого...» — Яблоки. —Весенняя природа. — Снег	Новый мир	1960	9.00	41-42
Дубов, Николай			Жесткая проба. Повесть	Новый мир	1960	9.00	43-84
Френкель, И			Червоный куток. Стихи	Новый мир	1960	9.00	85-86
Эренбург, И			Люди, годы, жизнь. [Воспоминания]	Новый мир	1960	9.00	87-136
Первомайский, Леонид			Цвет лозы. Стихи. Пер. с укр: Н. Браун	Новый мир	1960	10.00	124
Сосюра, Владимир			Два стихотворения: «Как море, дышит лес зеленый...» — «Я люблю, как листвою зеленой...» Пер. с укр: А. Прокофьев	Новый мир	1960	10.00	3-4
Рыльский, М			В тени жаворонка. Стихи. Пер. с укр: М. Комиссарова	Новый мир	1960	10.00	5-6
Каверин, В			Рассказы. (Из книги «Неизвестный друг»): Скрипка Амати. — Бойкот. — В Летнем саду. — Дуэль. — Измена	Новый мир	1960	10.00	110-123
Крон, Александр			На ходу и на якоре. [О поездке в Индонезию]. (Впечатления)	Новый мир	1960	10.00	125-156
Маслов, П			Время в быту. [Заметки экономиста]	Новый мир	1960	10.00	157-165
Вебер, Юрий			Большой поиск. [Заметки о конгрессе Междунар. федерации по автоматич. управлению. Москва. 1960]	Новый мир	1960	10.00	166-176
Саппак, Вл			Телевидение, 1960. Из первых наблюдений. [О передачах Центр. студии телевидения]	Новый мир	1960	10.00	177-203
Кузьмин, Н			Андрей Рублев. [К 600-летию со дня рождения художника]	Новый мир	1960	10.00	204-210\
Рачук, И			Александр Довженко — писатель	Новый мир	1960	10.00	211-217
Мейлах, Б			Уход и смерть Льва Толстого. [Сокр. главы из одноим. книги]	Новый мир	1960	10.00	218-238
Малышко, Андрей			Начало сказки. — «Как горят вишневые рассветы!..» [Стихи. Пер. с укр: Ю. Мориц; Н. Браун]	Новый мир	1960	10.00	52-53
Дубов, Николай			Жесткая проба. Повесть	Новый мир	1960	10.00	54-100
Эренбург, И			Люди, годы, жизнь. (Воспоминания]. Кн. 1	Новый мир	1960	10.00	7-51
			Огни. Перекличка друзей. [Стихи]: А. Малышко. Максиму Рыльскому. Пер. с укр: Н. Браун. — М. Рыльский. Андрею Малышко. Пер. с укр: М. Комиссарова. — Н. Зарьян. Максиму Рыльскому. Пер. с арм: В. Звягинцева. — П. Бровка. «Сиянье братства, свет улыбок...» Пер. с белорус: Я. Хелемский. — А. Прокофьев. Друг, твои слова мне как награда.	Новый мир	1960	11.00	3-8
Крупская, Н. К			По градам и весям Советской Республики. (Полтора месяца работы на лит.-агит. пароходе ВЦИК «Красная звезда»).[Текст дневника 1919 г.] Публикация А. П. Антосенковой	Новый мир	1960	11.00	113-130
Герасимов, Е			Неслучайные встречи. Поездка в Прикамье. [К публикации очерка Н. К. Крупской «По градам и весям Советской Республики. (Полтора месяца работы на лит.-агит. пароходе ВЦИК «Красная звезда»)»]	Новый мир	1960	11.00	131-156
Яковлев, Б			Боевое оружие. Новое издание ленинских «Тетрадей по империализму»	Новый мир	1960	11.00	157-164
Петров, В	Овчинников, И		Перед полетом человека в космос. [О техн. и биол. проблемах межпланетных полетов]	Новый мир	1960	11.00	165-177
Инбер, Вера			Эхо в горах. Дневник писателя	Новый мир	1960	11.00	178-182
Андроников, Ираклий			О собирателях редкостей	Новый мир	1960	11.00	183-194
Рунин, Б			Спор необходимо продолжить. [Заметки о лирике]. Из книги «Личность и творчество»	Новый мир	1960	11.00	195-219
Мейлах, Б			Уход и смерть Льва Толстого. [Сокр. главы из одноим. книги]	Новый мир	1960	11.00	220-240
			Мир — знамя Великого Октября. [Из истории борьбы Советской власти за прекращение войны и установление всеобщего мира (окт. — ноябрь 1917 г.) Документы и материалы. Подгот. к печати В. Кондратьев]	Новый мир	1960	11.00	241-247
Альшиц, Д			Древнерусская проза в стихотворных переводах Н. В. Водовозова	Новый мир	1960	11.00	265-270
Байкова, А	Козырина, К		Новое о В. И. Ленине за рубежом. [Обзор литературы]	Новый мир	1960	11.00	270-273
Горев, Г			На самых дальних улицах. Записки новосела	Новый мир	1960	11.00	42-51
Капутикян. Сильва			Раздумья на полпути. Поэма. Пер. с арм: В. Корнилов	Новый мир	1960	11.00	52-56
Горький, Максим			О единице. [Очерк. Публикация и примеч. И. В. Дистлер]	Новый мир	1960	11.00	57-63
Семенов, А			На Капри у М. Горького. [Воспоминания, впервые опублик. в газ. «Якут. окраина» в 1912 г. Подгот. к печати И. В. Дистлер]	Новый мир	1960	11.00	63-65
Горький, Максим	Семенов, А		А. Из переписки А. М. Горького и А. А. Семенова. [Публикацию подгот. И. В. Дистлер]	Новый мир	1960	11.00	65-86
Познер, В			Место казни. [Очерки из одноим. книги франц. публициста, посвящ. Алжиру]. Пер. с франц	Новый мир	1960	11.00	87-112
Овечкин, Валентин			Время пожинать плоды... Пьеса в 3 д., 8 карт	Новый мир	1960	11.00	9-41
Трифонов, Ю.			Два рассказа: Вера и Зойка. — Был летний полдень	Новый мир	1960	12.00	75—91
Гильен, Николае.			Песня двух солдат. [Стихи]. Пер. с испан: М. Самаев	Новый мир	1961	1.00	15
Лайа, Педро.			Иносказание о спящих детях. [Стихи венесуэл. поэта]. Пер. с испан:М. Самаев	Новый мир	1961	1.00	19
Палее Матос, Луис.			Увеселения. [Стихи пуэрто-риканского поэта]. Пер. с испан: М.Самаев	Новый мир	1961	1.00	20
			Новый триумф марксизма-ленинизма. [К итогам Совещания представителейкоммунистич. и рабочих партий. Москва. Ноябрь 1960 г. Статьи]: П. Ф. Юдин. Документывсемирно-исторического значения. — С. Голубов. Душа мира. — С. Залыгин. Общая цель.— А. Крон. Маяк человечества	Новый мир	1961	1.00	3-14
Ваншенкин, Константин.			Утро в Донбассе. Стихи: «Уже входило утро в русло...» — «Наугле отпечатана листва...»	Новый мир	1961	1.00	153-154
Искандер, Ф.			Два стихотворения: В Сванетии. — Хашная	Новый мир	1961	1.00	155-157
Забелин, И.			О культуре мышления. [Образное мышление в науке]	Новый мир	1961	1.00	158-165
