aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Васильев, Флор.			Сердце твое. — «Если голодом или жаждой люто...» [Стихи. Пер. судмурт.: Я. Серпин; О. Поскребышев]. Илл.: К. Багрова	Наш современник	1964	11	53
Никулин, Лев.			Сергей Уточкин. Из книги «Годы нашей жизни»	Наш современник	1964	11	110—112
Шоу, Бернард.			Переписка Бернарда Шоу с мусорщиком О'Рейли. [1947—1950 гг.Публикация, предисл. и коммент. А. Лесса]	Наш современник	1964	11	120—121.
Полторацкий, Виктор.			Зеленое море. — На Тереке. — Вдова. — С самим собой. —Повесть о «Красном поясе». [Стихи]. Илл.: К. Багрова	Наш современник	1964	11	18—20.
Минутко, Игорь.			Куликово поле. Рассказ; Илл.: В. Карабут	Наш современник	1964	11	21—33
Сапожников, Владимир.			Гуси-лебеди. Рассказ. Илл.: Г. Турылев	Наш современник	1964	11	3—17
Босняцкий, Евгений.			А кроме того, удача. Быль	Наш современник	1964	11	35—45.
Ленч, Леонид.			Дядька-мухомор. Рассказ. Илл.: А. Орлов	Наш современник	1964	11	47—52
Черный, Саша.			Ослиный тормоз. [Из книги «Солдатские сказки», изд. в Париже в 1932 г.Публикацию подгот. П. Л. Вячеславов]. Илл.: Ю. Цишевский	Наш современник	1964	11	55—59.
Лессинг, Дорис.			Другая женщина. Повесть. Пер. с англ.: Е. Шишмарева. Илл.: В.Медведев	Наш современник	1964	11	61—97.
Сосинский, Вл.			Встреча в Потсдаме. [Отрывки из книги воспоминаний бывшего узникафашистского лагеря для франц. военнопленных]	Наш современник	1964	11	98—106.
Скороходов, В.			Зодчий двух континентов. [Об архитекторе В. К. Олтаржевском]	Наш современник	1964	12	101—103
Осетров, Евгений.			Стихи и годы. [Навстречу Съезду писателей РСФСР]	Наш современник	1964	12	104—109
Шишов, Виктор.			Литературная Пенза	Наш современник	1964	12	110—112
Ваншенкин, Константин.			«Заметно выцвел небосвод...» — «Журавлиное курлыканье...» — «Дорогая, помнишь ты...» — «Закат померк. Ушли лучи с пригорка...» [Стихи]. Илл.: К. Багрова	Наш современник	1964	12	2—3
Карелин, Лазарь.			Легкий человек Марина. Повесть. Илл.: М. Сапожников	Наш современник	1964	12	4—45
Приходько, Владимир.			Актер. Стихи. Илл.: К. Багрова	Наш современник	1964	12	46—47
Ковалевский, Вячеслав.			Земной шар. Рассказ. Илл.: А. Щербаков	Наш современник	1964	12	48—55
Поскребышев, Олег.			«Летят утки». — «А если, равнодушьем пойман...» — «Не грусти...» [Стихи]. Илл.: К. Багрова	Наш современник	1964	12	56—57
Иванов, Всеволод.			Сизиф, сын Эола. Рассказ. Публикация Т. В. Ивановой. Илл.: Ю. Цишевский	Наш современник	1964	12	59—70
